X,Y,COMMUNITY,RATING,DATE_RISK,COMMID,COMMTYPE,FPZONE,FMZONE,LGA,ALCOUNCIL,POPULATION,MUNSPROV,MUNSTYPE,FUELREDUC,FIREBREAK,FIREPLAN,LATITUDE,LONGITUDE
135.1930694444,-12.6577916667,Mirrnatja,Low,2020/06/30,"535",Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,"5",Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.657792000000001,135.193069000000008
129.04319,-17.10927,Mistake Creek,Moderate,2020/06/30,"626",Family Outstation,No,Savanna,Victoria-Daly Regional Council,Central Land Council,"4",Ngaliwurru-Wuli Association,Aboriginal Corporation,Yes,Yes,No,-17.109269999999999,129.043190000000010
135.91266,-14.03209,Miwul,Moderate,2020/06/30,"536",Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.032090000000000,135.912659999999988
134.35499,-13.57939,Mobarn,High,2020/06/30,"827",Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.579390000000000,134.354989999999987
133.83303,-14.87499,Mole Hill,Moderate,2020/06/30,"627",Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,"2",Roper Gulf Regional Council,Local Government Association,Yes,Yes,No,-14.874990000000000,133.833030000000008
134.26915,-13.35693,Momob,Moderate,2020/06/30,"628",Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.356930000000000,134.269149999999996
131.515047,-16.335589,Moolooloo,Moderate,2020/06/30,"15203",Family Outstation,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,Yes,Yes,No,-16.335588999999999,131.515047000000010
137.00053,-15.62411,Mooloowa,Low,2020/06/30,"990",Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,"5",Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-15.624110000000000,137.000529999999998
135.0749,-11.92119,Mooronga,Low,2020/06/30,"501",Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,"30",Milingimbi & Outstations Progress Resource Association Inc,Aboriginal Corporation,Yes,Yes,No,-11.921189999999999,135.074900000000014
131.43922,-24.11251,Morris Gap,Moderate,2020/06/30,"105",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-24.112510000000000,131.439220000000006
